year	eeacellcode	classkey	class	specieskey	species	occurrences	mincoordinateuncertaintyinmeters	mintemporaluncertainty	classcount
2024	1kmE3602N3228	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3604N3195	220	Magnoliopsida	2891774	Impatiens capensis	1	4.0	1	14830
2024	1kmE3605N3195	220	Magnoliopsida	2891774	Impatiens capensis	1	2000.0	1	14830
2024	1kmE3605N3205	220	Magnoliopsida	2891774	Impatiens capensis	1	6.0	60	14830
2024	1kmE3605N3221	220	Magnoliopsida	2891774	Impatiens capensis	1	699.0	1	14830
2024	1kmE3606N3194	220	Magnoliopsida	2891774	Impatiens capensis	1	62.0	60	14830
2024	1kmE3606N3196	220	Magnoliopsida	2891774	Impatiens capensis	1	8.0	60	14830
2024	1kmE3606N3198	220	Magnoliopsida	2891774	Impatiens capensis	2	200.0	1	14830
2024	1kmE3606N3200	220	Magnoliopsida	2891774	Impatiens capensis	2	4.0	1	14830
2024	1kmE3606N3201	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
2024	1kmE3607N3199	220	Magnoliopsida	2891774	Impatiens capensis	5	1.0	1	14830
2024	1kmE3607N3200	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
2024	1kmE3607N3202	220	Magnoliopsida	2891774	Impatiens capensis	2	1000.0	60	14830
2024	1kmE3608N3202	220	Magnoliopsida	2891774	Impatiens capensis	1	2.0	60	14830
2024	1kmE3609N3202	220	Magnoliopsida	2891774	Impatiens capensis	2	5.0	1	14830
2024	1kmE3609N3203	220	Magnoliopsida	2891774	Impatiens capensis	1	3.0	1	14830
2024	1kmE3610N3201	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
2024	1kmE3610N3202	220	Magnoliopsida	2891774	Impatiens capensis	1	3.0	1	14830
2024	1kmE3610N3500	220	Magnoliopsida	2891774	Impatiens capensis	1	4.0	1	14830
2024	1kmE3611N3201	220	Magnoliopsida	2891774	Impatiens capensis	3	2.0	1	14830
2024	1kmE3611N3202	220	Magnoliopsida	2891774	Impatiens capensis	1	37.0	1	14830
2024	1kmE3613N3203	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
2024	1kmE3614N3201	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
2024	1kmE3617N3319	220	Magnoliopsida	2891774	Impatiens capensis	1	172.0	60	14830
2024	1kmE3620N3203	220	Magnoliopsida	2891774	Impatiens capensis	1	24.0	1	14830
2024	1kmE3621N3284	220	Magnoliopsida	2891774	Impatiens capensis	1	8.0	1	14830
2024	1kmE3624N3206	220	Magnoliopsida	2891774	Impatiens capensis	1	18.0	1	14830
2024	1kmE3624N3322	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
2024	1kmE3626N3204	220	Magnoliopsida	2891774	Impatiens capensis	1	1.0	1	14830
2024	1kmE3626N3209	220	Magnoliopsida	2891774	Impatiens capensis	1	90.0	1	14830
2024	1kmE3626N3322	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	86400	14830
2024	1kmE3627N3322	220	Magnoliopsida	2891774	Impatiens capensis	3	5.0	86400	14830
2024	1kmE3628N3322	220	Magnoliopsida	2891774	Impatiens capensis	2	18.0	1	14830
2024	1kmE3629N3236	220	Magnoliopsida	2891774	Impatiens capensis	1	5.0	86400	14830
2024	1kmE3629N3293	220	Magnoliopsida	2891774	Impatiens capensis	1	4.0	1	14830
2024	1kmE3630N3235	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3633N3230	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
2024	1kmE3633N3231	220	Magnoliopsida	2891774	Impatiens capensis	1	2.0	86400	14830
2024	1kmE3633N3232	220	Magnoliopsida	2891774	Impatiens capensis	1	10.0	1	14830
2024	1kmE3636N3232	220	Magnoliopsida	2891774	Impatiens capensis	1	3.0	1	14830
2024	1kmE3638N3232	220	Magnoliopsida	2891774	Impatiens capensis	1	104.0	1	14830
2024	1kmE3652N3139	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3655N2968	220	Magnoliopsida	2891774	Impatiens capensis	1	2.0	86400	14830
2024	1kmE3662N3298	220	Magnoliopsida	2891774	Impatiens capensis	1	104.0	1	14830
2024	1kmE3663N3312	220	Magnoliopsida	2891774	Impatiens capensis	1	4.0	86400	14830
2024	1kmE3663N3313	220	Magnoliopsida	2891774	Impatiens capensis	2	3.0	86400	14830
2024	1kmE3667N3317	220	Magnoliopsida	2891774	Impatiens capensis	1	707.1	86400	14830
2024	1kmE3668N3318	220	Magnoliopsida	2891774	Impatiens capensis	1	5.0	86400	14830
2024	1kmE3671N3321	220	Magnoliopsida	2891774	Impatiens capensis	1	1799.0	1	14830
2024	1kmE3687N3250	220	Magnoliopsida	2891774	Impatiens capensis	2	3.0	1	14830
2024	1kmE3720N3350	220	Magnoliopsida	2891774	Impatiens capensis	1	3.0	1	14830
2024	1kmE3729N3313	220	Magnoliopsida	2891774	Impatiens capensis	1	5.0	86400	14830
2024	1kmE3729N3314	220	Magnoliopsida	2891774	Impatiens capensis	1	93.0	1	14830
2024	1kmE3731N3036	220	Magnoliopsida	2891774	Impatiens capensis	1	61.0	86400	14830
2024	1kmE3734N3313	220	Magnoliopsida	2891774	Impatiens capensis	1	5.0	86400	14830
2024	1kmE3735N3329	220	Magnoliopsida	2891774	Impatiens capensis	1	1188.0	86400	14830
2024	1kmE3736N2900	220	Magnoliopsida	2891774	Impatiens capensis	1	8.0	60	14830
2024	1kmE3736N3314	220	Magnoliopsida	2891774	Impatiens capensis	1	11.0	86400	14830
2024	1kmE3737N3313	220	Magnoliopsida	2891774	Impatiens capensis	1	5.0	86400	14830
2024	1kmE3739N3324	220	Magnoliopsida	2891774	Impatiens capensis	1	707.1	86400	14830
2024	1kmE3740N3323	220	Magnoliopsida	2891774	Impatiens capensis	1	707.1	86400	14830
2024	1kmE3741N3313	220	Magnoliopsida	2891774	Impatiens capensis	2	70.7	86400	14830
2024	1kmE3742N3309	220	Magnoliopsida	2891774	Impatiens capensis	1	3.0	86400	14830
2024	1kmE3742N3310	220	Magnoliopsida	2891774	Impatiens capensis	2	167.0	60	14830
2024	1kmE3742N3311	220	Magnoliopsida	2891774	Impatiens capensis	8	3.0	1	14830
2024	1kmE3743N3311	220	Magnoliopsida	2891774	Impatiens capensis	6	4.0	1	14830
2024	1kmE3743N3312	220	Magnoliopsida	2891774	Impatiens capensis	2	851.0	1	14830
2024	1kmE3743N3313	220	Magnoliopsida	2891774	Impatiens capensis	1	7.0	1	14830
2024	1kmE3744N3310	220	Magnoliopsida	2891774	Impatiens capensis	1	70.7	86400	14830
2024	1kmE3745N3319	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3746N3295	220	Magnoliopsida	2891774	Impatiens capensis	1	3.0	86400	14830
2024	1kmE3746N3319	220	Magnoliopsida	2891774	Impatiens capensis	4	4.0	1	14830
2024	1kmE3747N3317	220	Magnoliopsida	2891774	Impatiens capensis	1	31.0	60	14830
2024	1kmE3747N3318	220	Magnoliopsida	2891774	Impatiens capensis	1	7.1	86400	14830
2024	1kmE3747N3323	220	Magnoliopsida	2891774	Impatiens capensis	1	11187.0	1	14830
2024	1kmE3747N3325	220	Magnoliopsida	2891774	Impatiens capensis	1	4.0	86400	14830
2024	1kmE3761N2888	220	Magnoliopsida	5361762	Myriophyllum heterophyllum	2	8.0	60	14830
2024	1kmE3769N3005	220	Magnoliopsida	2891774	Impatiens capensis	1	6.0	1	14830
2024	1kmE3770N3004	220	Magnoliopsida	2891774	Impatiens capensis	2	11.0	86400	14830
2024	1kmE3776N2850	220	Magnoliopsida	2891774	Impatiens capensis	1	29.0	86400	14830
2024	1kmE3784N2784	220	Magnoliopsida	2891774	Impatiens capensis	1	76.0	1	14830
2024	1kmE3801N2830	220	Magnoliopsida	2891774	Impatiens capensis	2	8.0	1	14830
2024	1kmE3802N2830	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3811N3098	131	Amphibia	5217334	Xenopus laevis	4	3.0	86400	690
2024	1kmE3817N3096	131	Amphibia	5217334	Xenopus laevis	1	4.0	86400	690
2024	1kmE3822N3095	131	Amphibia	5217334	Xenopus laevis	3	3.0	86400	690
2024	1kmE3826N3095	220	Magnoliopsida	2891774	Impatiens capensis	2	5.0	60	14830
2024	1kmE3829N3096	220	Magnoliopsida	2891774	Impatiens capensis	2	4.0	86400	14830
2024	1kmE3833N3097	220	Magnoliopsida	2891774	Impatiens capensis	1	999.0	86400	14830
2024	1kmE3841N3114	220	Magnoliopsida	2891774	Impatiens capensis	3	3.0	86400	14830
2024	1kmE3843N3099	220	Magnoliopsida	2891774	Impatiens capensis	1	3.0	86400	14830
2024	1kmE3844N3099	220	Magnoliopsida	2891774	Impatiens capensis	1	2.0	86400	14830
2024	1kmE3848N3104	220	Magnoliopsida	2891774	Impatiens capensis	1	999.0	86400	14830
2024	1kmE3848N3111	220	Magnoliopsida	2891774	Impatiens capensis	1	3.0	86400	14830
2024	1kmE3852N3136	220	Magnoliopsida	2891774	Impatiens capensis	2	3.0	86400	14830
2024	1kmE3857N3134	220	Magnoliopsida	2891774	Impatiens capensis	1	5.0	86400	14830
2024	1kmE3870N3133	220	Magnoliopsida	2891774	Impatiens capensis	1	999.0	86400	14830
